DayIndex,Users
01-01-2020,335
02-01-2020,1131
03-01-2020,1094
04-01-2020,393
05-01-2020,487
06-01-2020,1380
07-01-2020,1607
08-01-2020,1578
09-01-2020,1640
10-01-2020,1368
11-01-2020,477
12-01-2020,634
13-01-2020,1812
14-01-2020,1840
15-01-2020,1802
16-01-2020,1708
17-01-2020,1386
18-01-2020,420
19-01-2020,544
20-01-2020,1527
21-01-2020,1799
22-01-2020,1938
23-01-2020,3000
24-01-2020,1570
25-01-2020,546
26-01-2020,660
27-01-2020,1910
28-01-2020,2086
29-01-2020,1972
30-01-2020,1962
31-01-2020,1515
01-02-2020,612
02-02-2020,730
03-02-2020,1922
04-02-2020,2187
05-02-2020,2086
06-02-2020,1955
07-02-2020,1572
08-02-2020,622
09-02-2020,856
10-02-2020,2155
11-02-2020,2079
12-02-2020,2067
13-02-2020,1996
14-02-2020,1575
15-02-2020,605
16-02-2020,808
17-02-2020,1878
18-02-2020,2121
19-02-2020,2055
20-02-2020,1991
21-02-2020,1648
22-02-2020,539
23-02-2020,785
24-02-2020,1888
25-02-2020,2067
26-02-2020,2066
27-02-2020,1981
28-02-2020,1542
29-02-2020,585
01-03-2020,817
02-03-2020,1987
03-03-2020,2050
04-03-2020,2012
05-03-2020,1977
06-03-2020,1582
07-03-2020,621
08-03-2020,710
09-03-2020,1884
10-03-2020,1847
11-03-2020,1864
12-03-2020,1787
13-03-2020,1337
14-03-2020,538
15-03-2020,760
16-03-2020,1465
17-03-2020,1502
18-03-2020,1562
19-03-2020,1486
20-03-2020,1267
21-03-2020,599
22-03-2020,811
23-03-2020,1500
24-03-2020,1506
25-03-2020,1448
26-03-2020,1610
27-03-2020,1402
28-03-2020,692
29-03-2020,884
30-03-2020,1751
31-03-2020,1717
01-04-2020,1783
02-04-2020,1822
03-04-2020,1534
04-04-2020,795
05-04-2020,899
06-04-2020,1681
07-04-2020,1779
08-04-2020,1749
09-04-2020,1570
10-04-2020,1242
11-04-2020,718
12-04-2020,862
13-04-2020,1504
14-04-2020,1831
15-04-2020,1890
16-04-2020,1945
17-04-2020,1636
18-04-2020,842
19-04-2020,1020
20-04-2020,1900
21-04-2020,1985
22-04-2020,2002
23-04-2020,1962
24-04-2020,1649
25-04-2020,794
26-04-2020,985
27-04-2020,1847
28-04-2020,1956
29-04-2020,1905
30-04-2020,1773
01-05-2020,1366
02-05-2020,810
03-05-2020,970
04-05-2020,1835
05-05-2020,1947
06-05-2020,1940
07-05-2020,1920
08-05-2020,1501
09-05-2020,764
10-05-2020,854
11-05-2020,1848
12-05-2020,1853
13-05-2020,1874
14-05-2020,1773
15-05-2020,1561
16-05-2020,719
17-05-2020,836
18-05-2020,1754
19-05-2020,1883
20-05-2020,1775
21-05-2020,1566
22-05-2020,1343
23-05-2020,638
24-05-2020,738
25-05-2020,1218
26-05-2020,1663
27-05-2020,1679
28-05-2020,1674
29-05-2020,1356
30-05-2020,580
31-05-2020,713
01-06-2020,1377
02-06-2020,1610
03-06-2020,1525
04-06-2020,1444
05-06-2020,1225
06-06-2020,538
07-06-2020,681
08-06-2020,1506
09-06-2020,1556
10-06-2020,1594
11-06-2020,1443
12-06-2020,1230
13-06-2020,601
14-06-2020,667
15-06-2020,1466
16-06-2020,1476
17-06-2020,1392
18-06-2020,1366
19-06-2020,1173
20-06-2020,481
21-06-2020,614
22-06-2020,1397
23-06-2020,1429
24-06-2020,152
25-06-2020,195
26-06-2020,1122
27-06-2020,504
28-06-2020,685
29-06-2020,1389
30-06-2020,1368
01-07-2020,1341
02-07-2020,1284
03-07-2020,869
04-07-2020,429
05-07-2020,508
06-07-2020,1275
07-07-2020,1428
08-07-2020,1411
09-07-2020,1396
10-07-2020,1131
11-07-2020,453
12-07-2020,587
13-07-2020,1358
14-07-2020,1399
15-07-2020,1509
16-07-2020,1441
17-07-2020,1135
18-07-2020,491
19-07-2020,634
20-07-2020,10
21-07-2020,1506
22-07-2020,1519
23-07-2020,1580
24-07-2020,1504
25-07-2020,1282
26-07-2020,521
27-07-2020,656
28-07-2020,1493
29-07-2020,1501
30-07-2020,1535
31-07-2020,1456
01-08-2020,1056
02-08-2020,424
03-08-2020,519
04-08-2020,1278
05-08-2020,1424
06-08-2020,1524
07-08-2020,1366
08-08-2020,4320
